Zensus 9. Mai 2011;;;;;;;;;;;;;;;;;
2001 - 2004;70 - 79;7 - 12 Wohnungen;(24);69;310;84;3;129;(3);63;(93);18;19;18;(68);10;(62)
2001 - 2004;70 - 79;13 und mehr Wohnungen;41;46;28;8;-;41;6;30;(35);21;15;9;3;4;24
2001 - 2004;80 - 89;1 Wohnung;9;13;42;12;(76);88;93;64;(62);57;94;102;(42);(34);36
2001 - 2004;80 - 89;2 Wohnungen;3;15;6;(14);39;37;72;(21);50;38;68;50;60;12;(57)
2001 - 2004;80 - 89;3 - 6 Wohnungen;22;13;17;3;(4);84;40;57;125;(54);33;16;(91);(6);41
2001 - 2004;80 - 89;7 - 12 Wohnungen;24;(43);(78);7;9;108;21;29;(92);35;18;-;(36);-;(48)
2001 - 2004;80 - 89;13 und mehr Wohnungen;-;21;38;6;-;13;-;23;32;3;9;-;7;6;47
2001 - 2004;90 - 99;1 Wohnung;38;(73);90;36;(55);(200);110;181;236;(79);(137);(114);242;86;180
2001 - 2004;90 - 99;2 Wohnungen;-;6;-;10;19;36;38;(38);66;23;37;25;(32);34;(58)
2001 - 2004;90 - 99;3 - 6 Wohnungen;-;13;3;3;6;28;(32);(16);59;(34);20;18;(55);9;43
2001 - 2004;90 - 99;7 - 12 Wohnungen;-;23;77;-;-;28;-;25;65;13;23;7;(19);-;32
2001 - 2004;90 - 99;13 und mehr Wohnungen;10;-;3;-;7;28;6;7;15;-;3;-;-;-;3
2001 - 2004;100 - 109;1 Wohnung;(76);(150);130;69;(108);286;197;356;418;212;294;213;547;(134);375
2001 - 2004;100 - 109;2 Wohnungen;4;9;9;7;15;34;41;38;52;(27);70;(26);59;(35);(56)
2001 - 2004;100 - 109;3 - 6 Wohnungen;-;7;14;3;6;31;22;35;(24);20;3;16;28;6;24
2001 - 2004;100 - 109;7 - 12 Wohnungen;(3);9;6;7;3;24;-;(35);52;9;27;9;15;-;13
2001 - 2004;100 - 109;13 und mehr Wohnungen;7;9;4;-;-;9;-;6;-;3;-;-;-;-;8
2001 - 2004;110 - 119;1 Wohnung;83;141;160;69;201;405;205;350;536;256;404;273;543;229;408
2001 - 2004;110 - 119;2 Wohnungen;7;3;-;-;15;19;22;(13);(57);(40);(23);(6);46;6;40
2001 - 2004;110 - 119;3 - 6 Wohnungen;7;3;3;3;-;12;9;(21);21;3;4;12;19;-;9
2001 - 2004;110 - 119;7 - 12 Wohnungen;-;10;13;3;-;16;3;9;15;3;6;3;19;-;12
2001 - 2004;110 - 119;13 und mehr Wohnungen;6;4;-;-;3;4;-;3;-;-;-;-;-;-;-
2001 - 2004;120 - 129;1 Wohnung;160;(195);(135);(95);256;494;353;485;717;319;695;556;761;329;607
2001 - 2004;120 - 129;2 Wohnungen;6;9;6;10;24;27;(29);33;(29);24;46;(54);53;9;44
2001 - 2004;120 - 129;3 - 6 Wohnungen;-;3;-;3;-;14;(18);10;15;(32);(16);9;24;3;9
2001 - 2004;120 - 129;7 - 12 Wohnungen;9;4;11;-;3;3;-;6;6;3;-;-;9;-;6
2001 - 2004;120 - 129;13 und mehr Wohnungen;-;-;-;-;-;6;-;4;-;-;-;3;-;-;-
2001 - 2004;130 - 139;1 Wohnung;78;(95);89;56;167;262;(272);(194);438;204;387;352;398;(166);422
2001 - 2004;130 - 139;2 Wohnungen;-;-;3;9;15;13;6;13;(6);18;25;13;29;3;20
2001 - 2004;130 - 139;3 - 6 Wohnungen;13;3;3;3;3;14;-;15;12;4;-;-;6;-;-
2001 - 2004;130 - 139;7 - 12 Wohnungen;-;16;3;-;-;3;-;9;-;3;9;-;4;-;-
2001 - 2004;130 - 139;13 und mehr Wohnungen;3;-;-;-;-;4;-;-;-;-;-;-;-;-;-
2001 - 2004;140 - 149;1 Wohnung;(59);(89);80;(50);165;248;228;(206);405;(179);347;324;397;200;374
2001 - 2004;140 - 149;2 Wohnungen;-;-;7;-;3;25;(28);9;7;3;(40);15;15;3;18
2001 - 2004;140 - 149;3 - 6 Wohnungen;3;-;3;-;7;-;-;7;-;-;3;-;13;3;14
2001 - 2004;140 - 149;7 - 12 Wohnungen;7;-;4;-;-;-;-;3;-;-;-;-;3;-;6
2001 - 2004;140 - 149;13 und mehr Wohnungen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2001 - 2004;150 - 159;1 Wohnung;32;31;(44);21;(93);(151);139;119;165;90;233;223;219;105;193
2001 - 2004;150 - 159;2 Wohnungen;-;3;-;-;16;7;7;16;7;11;6;10;10;6;6
2001 - 2004;150 - 159;3 - 6 Wohnungen;6;-;-;-;-;3;3;3;-;-;-;-;-;-;3
2001 - 2004;150 - 159;7 - 12 Wohnungen;6;3;-;-;-;-;3;3;3;-;3;6;-;-;-
2001 - 2004;150 - 159;13 und mehr Wohnungen;-;-;-;-;-;-;-;6;-;35;-;-;-;-;4
2001 - 2004;160 - 169;1 Wohnung;48;33;28;(16);91;95;141;99;140;(56);183;169;150;(86);(151)
2001 - 2004;160 - 169;2 Wohnungen;-;3;7;-;6;3;(32);3;6;-;12;(3);4;3;6
2001 - 2004;160 - 169;3 - 6 Wohnungen;-;-;-;-;9;-;-;3;3;-;12;3;3;-;6
2001 - 2004;160 - 169;7 - 12 Wohnungen;6;3;-;-;-;-;-;-;-;-;-;-;3;-;-
2001 - 2004;160 - 169;13 und mehr Wohnungen;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-
2001 - 2004;170 - 179;1 Wohnung;(21);17;7;3;56;55;(51);37;85;45;92;88;(114);30;77
2001 - 2004;170 - 179;2 Wohnungen;3;-;-;-;6;6;4;7;3;-;-;9;6;3;6
2001 - 2004;170 - 179;3 - 6 Wohnungen;-;-;-;-;6;-;3;-;-;4;-;3;-;-;-
2001 - 2004;170 - 179;7 - 12 Wohnungen;3;-;-;-;-;3;-;-;-;-;7;-;-;-;-
2001 - 2004;170 - 179;13 und mehr Wohnungen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2001 - 2004;180 und mehr;1 Wohnung;75;(40);42;35;(174);200;229;200;276;(171);360;291;292;(166);249
2001 - 2004;180 und mehr;2 Wohnungen;13;6;9;9;13;20;12;13;22;7;(25);(38);32;10;(30)
2001 - 2004;180 und mehr;3 - 6 Wohnungen;3;-;3;-;-;12;3;12;3;7;6;3;13;3;6
2001 - 2004;180 und mehr;7 - 12 Wohnungen;7;-;-;-;-;3;-;3;3;-;3;-;-;-;3
2001 - 2004;180 und mehr;13 und mehr Wohnungen;-;-;-;-;-;-;-;-;-;-;-;3;-;-;3
2005 - 2008;Unter 30;1 Wohnung;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-
2005 - 2008;Unter 30;2 Wohnungen;-;-;-;-;-;-;3;-;-;-;-;-;-;3;-
2005 - 2008;Unter 30;3 - 6 Wohnungen;7;-;-;-;-;-;3;6;-;-;-;-;4;3;-
2005 - 2008;Unter 30;7 - 12 Wohnungen;-;-;3;-;-;-;-;-;-;4;-;-;7;3;-
2005 - 2008;Unter 30;13 und mehr Wohnungen;-;12;3;-;48;-;-;4;-;-;6;-;-;-;15
2005 - 2008;30 - 39;1 Wohnung;-;-;16;4;6;-;-;-;-;-;3;-;-;-;-
2005 - 2008;30 - 39;2 Wohnungen;-;-;-;-;-;-;6;3;-;-;4;7;-;-;3
2005 - 2008;30 - 39;3 - 6 Wohnungen;22;-;3;3;6;-;18;9;-;-;6;-;13;6;6
2005 - 2008;30 - 39;7 - 12 Wohnungen;-;-;31;-;-;-;10;13;(3);6;15;3;-;3;16
2005 - 2008;30 - 39;13 und mehr Wohnungen;-;(34);77;-;3;-;3;40;-;-;12;6;28;-;-
2005 - 2008;40 - 49;1 Wohnung;-;3;7;-;3;3;16;6;-;3;3;25;12;-;3
2005 - 2008;40 - 49;2 Wohnungen;-;7;3;-;-;6;21;9;3;4;3;3;6;-;(21)
2005 - 2008;40 - 49;3 - 6 Wohnungen;18;9;18;3;-;3;29;26;37;(13);9;7;12;15;6
2005 - 2008;40 - 49;7 - 12 Wohnungen;31;6;27;6;22;3;23;37;(35);13;25;-;41;15;56
2005 - 2008;40 - 49;13 und mehr Wohnungen;7;(58);43;13;26;(49);44;(36);33;-;46;22;15;-;22
2005 - 2008;50 - 59;1 Wohnung;4;3;(19);-;25;11;31;21;3;-;10;10;18;-;-
2005 - 2008;50 - 59;2 Wohnungen;6;-;6;4;3;12;(38);10;9;12;(21);13;9;3;(6)
2005 - 2008;50 - 59;3 - 6 Wohnungen;6;9;29;4;-;10;63;39;(45);15;25;12;21;(12);35
2005 - 2008;50 - 59;7 - 12 Wohnungen;45;(24);222;6;10;26;28;55;(133);30;6;53;59;6;(16)
2005 - 2008;50 - 59;13 und mehr Wohnungen;51;28;141;13;-;152;13;(23);(57);16;33;7;(22);-;47
2005 - 2008;60 - 69;1 Wohnung;-;6;7;6;10;12;(60);33;17;6;18;(64);9;15;6
2005 - 2008;60 - 69;2 Wohnungen;3;6;6;3;10;34;38;(28);39;9;33;18;13;10;21
2005 - 2008;60 - 69;3 - 6 Wohnungen;(28);6;(20);7;18;41;(32);(31);55;13;35;30;(45);18;(52)
2005 - 2008;60 - 69;7 - 12 Wohnungen;58;-;(141);16;33;34;21;82;62;28;26;3;(69);6;50
2005 - 2008;60 - 69;13 und mehr Wohnungen;34;34;36;-;15;22;26;80;45;14;(61);6;(76);6;9
2005 - 2008;70 - 79;1 Wohnung;4;3;(22);4;9;36;52;44;(16);(13);(68);(31);9;22;17
2005 - 2008;70 - 79;2 Wohnungen;-;15;3;3;(20);19;52;(10);12;15;(14);(27);28;22;22
2005 - 2008;70 - 79;3 - 6 Wohnungen;3;14;18;-;6;(37);(64);(69);74;19;24;56;51;7;48
2005 - 2008;70 - 79;7 - 12 Wohnungen;(26);29;93;30;6;51;45;(31);(48);28;29;9;99;12;101
2005 - 2008;70 - 79;13 und mehr Wohnungen;(13);(70);39;-;21;21;12;(64);30;3;6;6;39;15;19
2005 - 2008;80 - 89;1 Wohnung;54;13;24;16;18;51;87;(43);28;(35);(71);(82);38;18;42
2005 - 2008;80 - 89;2 Wohnungen;-;-;12;3;19;25;(38);(12);29;7;26;(12);47;13;(31)
2005 - 2008;80 - 89;3 - 6 Wohnungen;10;21;(10);11;15;(42);31;48;67;16;18;18;(31);12;43
2005 - 2008;80 - 89;7 - 12 Wohnungen;15;41;65;10;9;48;19;72;55;3;(25);16;100;-;(37)
2005 - 2008;80 - 89;13 und mehr Wohnungen;9;(39);-;-;-;10;19;(25);18;6;(9);-;109;(24);6
2005 - 2008;90 - 99;1 Wohnung;65;(34);69;13;(58);(112);(110);152;(145);79;(82);118;(92);29;(137)
2005 - 2008;90 - 99;2 Wohnungen;-;3;18;(22);(3);33;24;(40);43;9;28;21;40;-;(20)
2005 - 2008;90 - 99;3 - 6 Wohnungen;9;9;(31);3;7;19;13;28;39;(9);18;26;30;(28);(31)
2005 - 2008;90 - 99;7 - 12 Wohnungen;-;15;46;-;-;27;6;20;59;(10);13;3;62;-;48
2005 - 2008;90 - 99;13 und mehr Wohnungen;-;58;3;-;-;-;3;13;10;6;9;-;22;3;-
2005 - 2008;100 - 109;1 Wohnung;72;73;197;(36);80;217;(185);249;301;133;198;(179);434;(59);392
2005 - 2008;100 - 109;2 Wohnungen;-;11;10;12;6;(22);31;30;32;18;36;18;(43);10;24
2005 - 2008;100 - 109;3 - 6 Wohnungen;-;3;19;6;6;13;16;18;21;10;12;19;25;3;18
2005 - 2008;100 - 109;7 - 12 Wohnungen;6;6;26;6;3;11;12;18;19;9;9;6;16;-;30
2005 - 2008;100 - 109;13 und mehr Wohnungen;6;25;-;-;-;-;3;6;12;-;3;-;3;6;6
2005 - 2008;110 - 119;1 Wohnung;70;(76);202;34;82;214;126;215;435;127;247;151;402;96;341
2005 - 2008;110 - 119;2 Wohnungen;-;9;7;-;3;31;19;(21);29;12;20;16;(16);16;28
2005 - 2008;110 - 119;3 - 6 Wohnungen;-;14;6;-;3;10;3;9;(25);(14);6;16;6;-;(20)
2005 - 2008;110 - 119;7 - 12 Wohnungen;-;3;6;-;-;3;3;17;15;3;10;3;25;-;22
2005 - 2008;110 - 119;13 und mehr Wohnungen;-;9;-;-;-;-;-;3;3;-;-;-;3;-;6
2005 - 2008;120 - 129;1 Wohnung;(117);184;150;(76);115;370;278;272;648;204;509;285;536;147;531
2005 - 2008;120 - 129;2 Wohnungen;10;-;9;3;-;(49);46;19;22;15;21;(37);43;12;40
2005 - 2008;120 - 129;3 - 6 Wohnungen;-;3;13;10;10;12;22;9;-;13;(18);6;3;15;-
2005 - 2008;120 - 129;7 - 12 Wohnungen;-;-;10;-;3;-;-;10;7;-;-;-;-;-;7
2005 - 2008;120 - 129;13 und mehr Wohnungen;-;9;-;-;-;3;6;3;3;-;-;-;-;-;-
2005 - 2008;130 - 139;1 Wohnung;(59);(100);152;(29);95;208;169;(178);400;(104);287;190;299;(104);363
2005 - 2008;130 - 139;2 Wohnungen;3;7;13;-;3;4;4;3;12;9;22;9;16;-;14
2005 - 2008;130 - 139;3 - 6 Wohnungen;-;6;3;-;6;-;3;12;12;-;-;13;10;3;7
2005 - 2008;130 - 139;7 - 12 Wohnungen;-;6;-;-;-;-;12;3;-;-;6;-;8;-;3
2005 - 2008;130 - 139;13 und mehr Wohnungen;-;-;-;-;-;-;-;-;9;-;3;-;6;-;-
2005 - 2008;140 - 149;1 Wohnung;(46);81;(107);13;93;231;186;(102);367;118;249;172;231;(94);329
2005 - 2008;140 - 149;2 Wohnungen;3;-;7;-;3;6;13;12;(24);-;13;12;(29);-;15
2005 - 2008;140 - 149;3 - 6 Wohnungen;3;14;6;-;-;-;3;21;3;3;3;7;6;7;4
2005 - 2008;140 - 149;7 - 12 Wohnungen;-;3;3;-;-;-;3;3;6;-;6;-;-;-;4
2005 - 2008;140 - 149;13 und mehr Wohnungen;-;-;-;-;-;-;-;-;-;-;4;-;3;-;-
2005 - 2008;150 - 159;1 Wohnung;45;(51);(45);6;(96);(84);103;(107);199;86;146;142;(141);41;194
2005 - 2008;150 - 159;2 Wohnungen;-;3;-;3;-;4;9;6;6;9;3;7;15;3;13
2005 - 2008;150 - 159;3 - 6 Wohnungen;-;-;4;-;-;-;-;-;9;-;-;6;4;-;-
2005 - 2008;150 - 159;7 - 12 Wohnungen;6;4;-;-;-;-;-;3;3;-;-;-;-;-;-
2005 - 2008;150 - 159;13 und mehr Wohnungen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2005 - 2008;160 - 169;1 Wohnung;21;43;(25);10;49;88;78;88;(171);59;135;92;(126);(52);(138)
2005 - 2008;160 - 169;2 Wohnungen;4;-;3;-;3;10;3;3;9;-;-;7;3;-;7
2005 - 2008;160 - 169;3 - 6 Wohnungen;-;-;-;-;-;6;3;18;-;-;-;3;-;-;-
2005 - 2008;160 - 169;7 - 12 Wohnungen;3;-;(14);-;-;-;-;-;-;-;-;-;-;-;-
2005 - 2008;160 - 169;13 und mehr Wohnungen;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-
2005 - 2008;170 - 179;1 Wohnung;-;9;27;12;33;(69);48;49;87;43;97;63;58;24;(102)
2005 - 2008;170 - 179;2 Wohnungen;-;4;3;-;-;-;-;-;-;3;4;3;3;-;6
2005 - 2008;170 - 179;3 - 6 Wohnungen;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-
2005 - 2008;170 - 179;7 - 12 Wohnungen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2005 - 2008;170 - 179;13 und mehr Wohnungen;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-
2005 - 2008;180 und mehr;1 Wohnung;47;(58);52;32;140;157;194;(166);254;101;292;(208);219;107;255
2005 - 2008;180 und mehr;2 Wohnungen;4;(11);7;-;7;9;25;23;23;7;17;13;23;-;19
2005 - 2008;180 und mehr;3 - 6 Wohnungen;-;-;-;-;3;3;6;12;-;9;6;6;-;3;-
2005 - 2008;180 und mehr;7 - 12 Wohnungen;3;3;-;-;-;-;-;3;3;-;-;6;-;-;-
2005 - 2008;180 und mehr;13 und mehr Wohnungen;3;-;3;-;-;-;-;-;-;-;-;-;-;-;-
2009 und später;Unter 30;1 Wohnung;-;-;3;-;-;-;-;-;-;-;-;-;-;-;3
2009 und später;Unter 30;2 Wohnungen;-;-;-;-;-;-;6;-;3;-;-;-;-;-;-
2009 und später;Unter 30;3 - 6 Wohnungen;-;7;-;-;-;3;(20);-;-;-;-;-;-;-;-
2009 und später;Unter 30;7 - 12 Wohnungen;-;-;12;-;-;6;-;-;-;-;-;-;-;-;-
2009 und später;Unter 30;13 und mehr Wohnungen;26;-;30;28;35;-;9;-;13;-;-;-;-;-;-
2009 und später;30 - 39;1 Wohnung;-;-;3;-;-;-;-;3;-;-;-;-;-;-;-
2009 und später;30 - 39;2 Wohnungen;3;-;-;-;-;-;6;3;-;-;-;-;-;-;3
2009 und später;30 - 39;3 - 6 Wohnungen;10;-;3;-;-;-;9;-;4;-;-;9;-;-;-
2009 und später;30 - 39;7 - 12 Wohnungen;-;-;6;-;-;-;-;-;18;-;-;-;-;-;-
2009 und später;30 - 39;13 und mehr Wohnungen;-;-;20;-;-;-;-;-;89;3;-;-;63;-;7
2009 und später;40 - 49;1 Wohnung;-;3;-;-;-;-;7;-;-;-;3;6;7;-;-
2009 und später;40 - 49;2 Wohnungen;-;3;-;-;-;-;9;6;9;3;7;-;-;3;-
2009 und später;40 - 49;3 - 6 Wohnungen;9;-;4;9;6;(29);22;12;15;-;6;6;9;-;7
2009 und später;40 - 49;7 - 12 Wohnungen;18;19;10;9;-;3;12;15;19;6;-;18;32;10;6
2009 und später;40 - 49;13 und mehr Wohnungen;-;-;13;25;-;43;18;-;37;6;-;9;47;3;19
2009 und später;50 - 59;1 Wohnung;-;-;6;3;-;3;24;9;-;-;15;13;9;-;8
2009 und später;50 - 59;2 Wohnungen;3;-;-;-;3;6;6;16;11;6;6;7;9;6;12
2009 und später;50 - 59;3 - 6 Wohnungen;-;3;3;3;3;14;35;21;(25);7;3;8;16;4;6
2009 und später;50 - 59;7 - 12 Wohnungen;9;10;89;7;-;36;(101);16;(53);6;16;(17);37;9;15
2009 und später;50 - 59;13 und mehr Wohnungen;15;(46);108;35;-;111;9;56;(108);45;3;24;16;-;(102)
2009 und später;60 - 69;1 Wohnung;-;-;-;6;7;-;28;25;-;3;19;26;13;12;30
2009 und später;60 - 69;2 Wohnungen;3;-;9;4;6;12;10;18;9;6;6;10;6;6;4
2009 und später;60 - 69;3 - 6 Wohnungen;4;12;15;7;-;(15);40;33;44;(12);12;13;13;7;3
2009 und später;60 - 69;7 - 12 Wohnungen;7;(45);140;16;25;(65);24;22;(59);-;33;26;37;3;35
2009 und später;60 - 69;13 und mehr Wohnungen;45;43;39;10;-;31;23;27;157;6;6;15;33;-;26
2009 und später;70 - 79;1 Wohnung;-;29;(6);3;6;34;28;21;-;12;26;(33);3;19;20
2009 und später;70 - 79;2 Wohnungen;6;6;-;4;3;10;19;16;3;3;15;17;3;3;11
2009 und später;70 - 79;3 - 6 Wohnungen;14;(22);13;6;-;32;(18);(22);(51);3;3;13;15;4;12
2009 und später;70 - 79;7 - 12 Wohnungen;3;18;60;19;9;(21);16;18;69;(15);15;-;73;9;34
2009 und später;70 - 79;13 und mehr Wohnungen;6;23;39;4;-;(3);16;(47);(16);-;-;3;6;-;28
2009 und später;80 - 89;1 Wohnung;-;7;3;3;7;13;38;(41);24;(26);26;33;9;14;(9)
2009 und später;80 - 89;2 Wohnungen;-;-;-;-;12;6;32;9;9;-;15;15;30;7;6
2009 und später;80 - 89;3 - 6 Wohnungen;3;6;-;-;4;12;(19);18;47;6;6;13;(38);3;-
2009 und später;80 - 89;7 - 12 Wohnungen;9;-;22;4;7;30;7;(14);61;3;13;9;47;7;9
2009 und später;80 - 89;13 und mehr Wohnungen;13;-;14;-;-;38;-;(9);19;3;3;44;3;3;9
2009 und später;90 - 99;1 Wohnung;(9);12;12;4;(24);(38);42;68;(79);21;70;68;52;7;33
2009 und später;90 - 99;2 Wohnungen;-;-;3;-;10;(34);6;12;(9);10;12;(6);3;-;12
2009 und später;90 - 99;3 - 6 Wohnungen;-;10;-;-;3;15;15;(3);21;9;3;16;19;3;6
2009 und später;90 - 99;7 - 12 Wohnungen;-;9;10;10;12;4;9;6;34;19;3;3;(33);3;3
2009 und später;90 - 99;13 und mehr Wohnungen;7;-;3;-;-;-;3;3;6;3;16;-;-;-;-
2009 und später;100 - 109;1 Wohnung;(9);92;178;26;30;96;(94);99;149;25;104;(89);143;23;234
2009 und später;100 - 109;2 Wohnungen;6;6;-;-;-;9;(6);6;25;-;10;19;-;10;18
2009 und später;100 - 109;3 - 6 Wohnungen;-;-;7;-;-;9;(29);15;18;-;(22);-;3;(6);3
2009 und später;100 - 109;7 - 12 Wohnungen;3;10;-;3;-;3;4;10;3;10;9;-;12;-;-
2009 und später;100 - 109;13 und mehr Wohnungen;13;-;3;-;-;-;-;-;-;6;6;3;-;6;-
2009 und später;110 - 119;1 Wohnung;(112);28;59;6;32;(62);48;(108);(154);24;50;58;89;12;86
2009 und später;110 - 119;2 Wohnungen;-;-;-;-;10;-;8;9;17;-;4;9;11;10;-
2009 und später;110 - 119;3 - 6 Wohnungen;-;-;-;-;-;3;11;10;6;9;16;3;9;-;3
2009 und später;110 - 119;7 - 12 Wohnungen;-;6;3;-;-;-;-;9;3;7;3;-;3;-;-
2009 und später;110 - 119;13 und mehr Wohnungen;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-
2009 und später;120 - 129;1 Wohnung;(34);(91);60;7;44;(100);(100);(97);158;46;153;(99);(163);38;209
2009 und später;120 - 129;2 Wohnungen;-;-;-;-;-;(18);(25);-;4;-;12;25;(12);3;21
2009 und später;120 - 129;3 - 6 Wohnungen;-;-;3;-;-;3;-;6;(17);-;3;4;-;-;9
2009 und später;120 - 129;7 - 12 Wohnungen;-;10;-;-;14;-;-;4;3;-;3;-;-;-;-
2009 und später;120 - 129;13 und mehr Wohnungen;-;-;-;-;-;9;-;-;-;-;-;-;-;3;-
2009 und später;130 - 139;1 Wohnung;39;32;47;4;24;(107);50;85;126;(20);85;(77);(99);(39);217
2009 und später;130 - 139;2 Wohnungen;-;3;7;-;-;-;6;-;9;3;12;10;17;-;12
2009 und später;130 - 139;3 - 6 Wohnungen;6;-;3;-;-;9;6;6;3;-;3;-;3;-;3
2009 und später;130 - 139;7 - 12 Wohnungen;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009 und später;130 - 139;13 und mehr Wohnungen;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009 und später;140 - 149;1 Wohnung;27;(52);42;-;(16);(70);93;53;(127);(37);77;(85);66;33;(105)
2009 und später;140 - 149;2 Wohnungen;-;-;-;-;8;-;3;9;-;-;9;3;-;3;14
2009 und später;140 - 149;3 - 6 Wohnungen;-;-;-;-;-;-;3;4;3;-;-;3;-;-;3
2009 und später;140 - 149;7 - 12 Wohnungen;3;6;4;-;-;-;-;-;-;-;-;-;3;-;-
2009 und später;140 - 149;13 und mehr Wohnungen;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009 und später;150 - 159;1 Wohnung;15;21;12;3;18;(31);56;35;62;33;55;57;(77);23;71
2009 und später;150 - 159;2 Wohnungen;-;-;-;-;3;-;4;3;4;-;-;10;6;-;-
2009 und später;150 - 159;3 - 6 Wohnungen;-;3;-;-;-;-;-;3;-;-;-;3;3;-;10
2009 und später;150 - 159;7 - 12 Wohnungen;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-
2009 und später;150 - 159;13 und mehr Wohnungen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009 und später;160 - 169;1 Wohnung;6;3;6;11;21;40;31;43;35;18;49;(19);23;12;(40)
2009 und später;160 - 169;2 Wohnungen;-;-;-;-;-;-;6;3;-;-;12;3;-;3;3
2009 und später;160 - 169;3 - 6 Wohnungen;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-
2009 und später;160 - 169;7 - 12 Wohnungen;-;-;-;-;-;-;-;-;3;3;-;-;-;-;-
2009 und später;160 - 169;13 und mehr Wohnungen;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009 und später;170 - 179;1 Wohnung;8;3;-;8;-;23;15;52;29;-;42;17;13;6;28
2009 und später;170 - 179;2 Wohnungen;-;-;-;-;-;-;4;-;-;-;6;-;6;-;-
2009 und später;170 - 179;3 - 6 Wohnungen;-;-;-;-;-;-;3;-;9;3;-;-;-;-;3
2009 und später;170 - 179;7 - 12 Wohnungen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009 und später;170 - 179;13 und mehr Wohnungen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2009 und später;180 und mehr;1 Wohnung;6;(42);37;23;51;(89);(84);(87);102;43;104;(51);(113);53;104
2009 und später;180 und mehr;2 Wohnungen;4;4;6;-;-;-;12;9;15;6;9;10;3;-;-
2009 und später;180 und mehr;3 - 6 Wohnungen;6;3;-;-;-;-;-;6;6;4;-;3;3;-;-
2009 und später;180 und mehr;7 - 12 Wohnungen;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-
2009 und später;180 und mehr;13 und mehr Wohnungen;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;;;;;;;;;;;;;;;;;
Bei den ausgewiesenen Wohnungszahlen sind gewerblich genutzte Wohnungen und Wohnungen in bewohnten Unterkünften nicht, Diplomatenwohnungen/Wohnungen ausländischer Streitkräfte nur bei alleiniger Auswertung nach Art des Gebäudes berücksichtigt.
Die relativen Ergebnisse beziehen sich auf die Gesamtzahl der Wohnungen der jeweiligen regionalen Einheit je betrachtetem Wohnungsmerkmal. Die relativen Werte wurden durch Division von Ergebnissen nach Durchführung der Geheimhaltung errechnet.
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
© Statistische Ämter des Bundes und der Länder, 2014;;;;;;;;;;;;;;;;;
Vervielfältigung und Verbreitung mit Quellenangabe gestattet.;;;;;;;;;;;;;;;;;
